
1.d3d4 (-16000 16000 1 1000 407 -16000) 
1.e4d5 (403 16000 1 999 407 403) 
1.a3c1 (718 16000 1 998 407 718) 
1.a3b2 (718 16000 1 997 407 718) 
1.a3b4 (718 16000 1 996 407 718) 
1.a3c5 (718 16000 1 995 407 718) 
1.a3d6 (718 16000 1 994 407 718) 
1.a3e7 (718 16000 1 993 407 718) 
1.g7g4 (718 16000 1 992 407 718) 
1.g7g5 (718 16000 1 991 407 718) 
1.g7g6 (718 16000 1 990 407 718) 
1.g7e7 (718 16000 1 989 407 718) 
1.g7f7 (718 16000 1 988 407 718) 
1.g7h7 (718 16000 1 987 407 718) 
1.g7g8 (718 16000 1 986 407 718) 
1.b1a1 (718 16000 1 985 407 718) 
1.b1c1 (718 16000 1 984 407 718) 
1.b1a2 (718 16000 1 983 407 718) 
1.b1b2 (718 16000 1 982 407 718) 
1.b1c2 (718 16000 1 981 407 718) 
1.Exact:718
