
1.e4d5 (933 1013 11 1000 407 -16000) ,2.e6d5 (-1013 -933 10 2147483647 -718 -16000) ,3.a3e7 (933 1013 9 2147483647 614 -16000) ,4.f6f5 (-1013 -933 9 2147483647 -717 -16000) ,5.e7h4 (933 1013 8 2147483647 718 -16000) ,6.e5e4 (-1013 -933 7 2147483647 -706 -16000) ,7.d3e4 (933 1013 6 2147483647 702 -16000) ,8.d5e4 (-1013 -933 5 2147483647 -809 -16000) ,9.h4g3 (933 1013 5 2147483647 719 -16000) ,10.e4e3 (-1013 -933 4 2147483647 -881 -16000) ,11.d2e3 (933 1013 3 2147483647 822 -16000) ,12.f5e4 (-1013 -933 2 2147483647 -971 -16000) 
,,,,,,,,,,,12.f5e6 (-989 -933 2 2147483542 -971 -989) 
,,,,,,,,,,,12.f5f6 (-989 -933 2 0 -971 -989) 
,,,,,,,,,,11.g7g4 (989 1013 3 2147483592 822 989) 
,,,,,,,,,,11.g7h7 (989 1013 3 2147483592 822 989) 
,,,,,,,,,,11.b1c2 (989 1013 3 2147483542 822 989) ,12.e3d2 (-990 -989 2 2147483595 -847 -16000) 
,,,,,,,,,,11.g3f2 (989 1013 3 0 822 989) ,12.e3f2 (-990 -989 2 2147483615 -812 -16000) 
,,,,,,,,,,11.g3h2 (989 1013 3 0 822 989) ,12.e3d2 (-990 -989 2 2147483595 -800 -16000) 
,,,,,,,,,,11.g3f4 (989 1013 3 0 822 989) ,12.f5f4 (-990 -989 2 2147483617 -835 -16000) 
,,,,,,,,,,11.g3h4 (989 1013 3 0 822 989) ,12.e3d2 (-990 -989 2 2147483595 -815 -16000) 
,,,,,,,,,,11.g3e5 (989 1013 3 0 822 989) ,12.f5e5 (-990 -989 2 2147483617 -844 -16000) 
,,,,,,,,,,11.g3d6 (989 1013 3 0 822 989) ,12.e3d2 (-990 -989 2 2147483595 -833 -16000) 
,,,,,,,,,,11.g3c7 (989 1013 3 0 822 989) ,12.e3d2 (-990 -989 2 2147483595 -828 -16000) 
,,,,,,,,,,11.g3b8 (989 1013 3 0 822 989) ,12.e3d2 (-990 -989 2 2147483595 -805 -16000) 
,,,,,,,,,,11.d2d4 (989 1013 3 0 822 989) ,12.f5e6 (-990 -989 2 2147483543 -809 -16000) 
,,,,,,,,,,11.g7g5 (989 1013 3 0 822 989) ,12.f5g5 (-990 -989 2 2147483647 -803 -16000) 
,,,,,,,,,,11.g7g6 (989 1013 3 0 822 989) ,12.f5g6 (-990 -989 2 2147483627 -813 -16000) 
,,,,,,,,,,11.g7a7 (989 1013 3 0 822 989) ,12.e3d2 (-990 -989 2 2147483595 -834 -16000) 
,,,,,,,,,,11.g7b7 (989 1013 3 0 822 989) ,12.e3d2 (-990 -989 2 2147483595 -836 -16000) 
,,,,,,,,,,11.g7c7 (989 1013 3 0 822 989) ,12.e3d2 (-990 -989 2 2147483595 -835 -16000) 
,,,,,,,,,,11.g7d7 (989 1013 3 0 822 989) ,12.e3d2 (-990 -989 2 2147483595 -827 -16000) 
,,,,,,,,,,11.g7e7 (989 1013 3 0 822 989) ,12.e3d2 (-990 -989 2 2147483595 -829 -16000) 
,,,,,,,,,,11.g7f7 (989 1013 3 0 822 989) ,12.f5e4 (-990 -989 3 2147483647 -833 -16000) 
,,,,,,,,,,11.d2d3 (989 1013 3 0 822 989) ,12.f5e6 (-990 -989 2 2147483541 -812 -16000) 
,,,,,,,,,,11.g7g8 (989 1013 3 0 822 989) ,12.e3d2 (-990 -989 2 2147483595 -821 -16000) 
,,,,,,,,,,11.b1a1 (989 1013 3 0 822 989) ,12.e3d2 (-990 -989 2 2147483595 -798 -16000) 
,,,,,,,,,,11.b1c1 (989 1013 3 0 822 989) ,12.e3d2 (-990 -989 2 2147483595 -829 -16000) 
,,,,,,,,,,11.b1a2 (989 1013 3 0 822 989) ,12.e3d2 (-990 -989 2 2147483595 -822 -16000) 
,,,,,,,,,,11.b1b2 (989 1013 3 0 822 989) ,12.e3d2 (-990 -989 2 2147483595 -837 -16000) 
,,,,,,,,,,11.g3e1 (989 1013 3 0 822 989) ,12.e3d2 (-990 -989 2 2147483595 -805 -16000) 
,,,,,,,,,10.f5e6 (-989 -933 4 1 -881 -989) ,11.g7h7 (988 989 3 2147483647 884 -16000) ,12.e6d5 (-989 -988 2 2147483647 -972 -16000) 
,,,,,,,,,,,12.e6f5 (-989 -988 2 2147483541 -972 -995) 
,,,,,,,,,,,12.e4e3 (-989 -988 2 0 -972 -990) 
,,,,,,,,,,,12.e6f6 (-989 -988 2 0 -972 -990) 
,,,,,,,,,10.f5f6 (-989 -933 4 0 -881 -989) ,11.g7h7 (988 989 3 2147483647 888 -16000) ,12.f6f5 (-989 -988 2 2147483647 -976 -16000) 
,,,,,,,,,,,12.f6e6 (-989 -988 2 2147483542 -976 -990) 
,,,,,,,,,,,12.f6g6 (-989 -988 2 197 -976 -990) 
,,,,,,,,,,11.g7g4 (988 989 3 2147483592 888 984) ,12.f6f5 (-989 -988 2 2147483647 -974 -16000) 
,,,,,,,,,,,12.f6e6 (-989 -988 2 2147483541 -974 -993) 
,,,,,,,,,,,12.e4e3 (-989 -988 2 0 -974 -993) 
,,,,,,,,,,,12.f6e7 (-989 -988 2 0 -974 -993) 
,,,,,,,,,,,12.f6f7 (-989 -988 2 0 -974 -993) 
,,,,,,,,9.g7g4 (989 1013 5 2147483592 719 989) 
,,,,,,,,9.g7h7 (989 1013 5 2147483592 719 989) ,10.f5g6 (-990 -989 4 2147483647 -809 -16000) ,11.h4g3 (989 990 3 2147483647 822 -16000) 
,,,,,,,,,,11.b1c2 (989 990 3 2147483542 822 472) 
,,,,,,,,,,11.h7f7 (989 990 3 2147483541 822 472) 
,,,,,,,,,,11.h4g5 (989 990 3 0 822 472) 
,,,,,,,,,,11.h4f6 (989 990 3 0 822 472) 
,,,,,,,,,,11.h4e7 (989 990 3 0 822 472) 
,,,,,,,,,,11.h4d8 (989 990 3 0 822 472) 
,,,,,,,,,,11.h7a7 (989 990 3 0 822 472) 
,,,,,,,,,,11.h7b7 (989 990 3 0 822 472) 
,,,,,,,,,,11.h7c7 (989 990 3 0 822 472) 
,,,,,,,,,,11.h7d7 (989 990 3 0 822 472) 
,,,,,,,,,,11.h7e7 (989 990 3 0 822 472) 
,,,,,,,,,,11.d2d3 (989 990 3 0 822 472) 
,,,,,,,,,,11.h7g7 (989 990 3 0 822 472) ,12.g6h6 (-990 -989 3 2147483647 -823 -16000) 
,,,,,,,,,,11.h7h8 (989 990 3 0 822 828) 
,,,,,,,,,,11.b1a1 (989 990 3 0 822 828) 
,,,,,,,,,,11.b1c1 (989 990 3 0 822 828) 
,,,,,,,,,,11.b1a2 (989 990 3 0 822 828) 
,,,,,,,,,,11.b1b2 (989 990 3 0 822 828) 
,,,,,,,,,,11.d2d4 (989 990 3 0 822 828) 
,,,,,,,,9.g7f7 (989 1013 5 18 719 989) ,10.f5e6 (-990 -989 5 2147483647 -730 -16000) ,11.h4g3 (989 990 4 2147483647 732 -16000) 
,,,,,,,,,,11.f7h7 (989 990 4 2147483592 732 358) ,12.e6f5 (-990 -989 3 2147483647 -810 -16000) 
,,,,,,,,,,11.b1c2 (989 990 4 2147483544 732 988) 
,,,,,,,,,,11.f7g7 (989 990 4 29 732 988) 
,,,,,,,,,,11.f7e7 (989 990 4 18 732 988) ,12.e6d6 (-990 -989 4 2147483647 -722 -16000) 
,,,,,,,,,,11.h4e7 (989 990 4 0 732 988) 
,,,,,,,,,,11.h4d8 (989 990 4 0 732 988) 
,,,,,,,,,,11.f7f1 (989 990 4 0 732 988) 
,,,,,,,,,,11.f7f2 (989 990 4 0 732 988) 
,,,,,,,,,,11.f7f3 (989 990 4 0 732 988) 
,,,,,,,,,,11.f7f4 (989 990 4 0 732 988) 
,,,,,,,,,,11.f7f5 (989 990 4 0 732 988) 
,,,,,,,,,,11.f7f6 (989 990 4 0 732 988) ,12.e6d5 (-990 -989 4 2147483647 -710 -16000) 
,,,,,,,,,,11.f7a7 (989 990 4 0 732 988) 
,,,,,,,,,,11.f7b7 (989 990 4 0 732 988) 
,,,,,,,,,,11.f7c7 (989 990 4 0 732 988) 
,,,,,,,,,,11.f7d7 (989 990 4 0 732 988) 
,,,,,,,,,,11.h4f6 (989 990 4 0 732 988) 
,,,,,,,,,,11.h4g5 (989 990 4 0 732 988) 
,,,,,,,,,,11.d2d4 (989 990 4 0 732 988) 
,,,,,,,,,,11.f7f8 (989 990 4 0 732 988) 
,,,,,,,,,,11.b1a1 (989 990 4 0 732 988) 
,,,,,,,,,,11.b1c1 (989 990 4 0 732 988) 
,,,,,,,,,,11.b1a2 (989 990 4 0 732 988) 
,,,,,,,,,,11.b1b2 (989 990 4 0 732 988) 
,,,,,,,,,,11.d2d3 (989 990 4 0 732 988) 
,,,,,,,,9.d2d4 (989 1013 5 9 719 989) 
,,,,,,,,9.d2d3 (989 1013 5 5 719 989) 
,,,,,,,,9.h4d8 (989 1013 5 0 719 989) ,10.f5e6 (-990 -989 4 2147483647 -717 -16000) ,11.g7g4 (989 990 3 2147483647 719 -16000) ,12.e6d5 (-990 -989 2 2147483542 -793 -16000) 
,,,,,,,,,,11.g7h7 (989 990 3 2147483592 719 967) ,12.e6f5 (-990 -989 2 2147483543 -809 -16000) 
,,,,,,,,,,11.b1c2 (989 990 3 2147483544 719 967) 
,,,,,,,,,,11.d8h4 (989 990 3 178 719 967) 
,,,,,,,,,,11.g7e7 (989 990 3 18 719 967) ,12.e6d5 (-990 -989 3 2147483647 -718 -16000) 
,,,,,,,,,,11.d8b6 (989 990 3 0 719 967) 
,,,,,,,,,,11.d8f6 (989 990 3 0 719 967) 
,,,,,,,,,,11.d8c7 (989 990 3 0 719 967) 
