
1.e4d5 (942 1022 12 1000 407 -16000) ,2.e6d5 (-1022 -942 11 2147483647 -718 -16000) ,3.a3e7 (942 1022 10 2147483647 614 -16000) ,4.f6f5 (-1022 -942 10 2147483647 -717 -16000) ,5.e7h4 (942 1022 9 2147483647 718 -16000) ,6.e5e4 (-1022 -942 8 2147483647 -706 -16000) ,7.d3e4 (942 1022 7 2147483647 702 -16000) ,8.f5e4 (-1022 -942 6 2147483647 -809 -16000) ,9.g7g4 (942 1022 6 2147483647 716 -16000) ,10.e4d3 (-1022 -942 6 2147483647 -789 -16000) ,11.h4g3 (942 1022 5 2147483647 800 -16000) ,12.d3d2 (-1022 -942 4 2147483647 -974 -16000) 
,,,,,,,,,,,12.d3e2 (-985 -942 4 2147483542 -974 -985) 
,,,,,,,,,,,12.d5d4 (-985 -942 4 48 -974 -985) 
,,,,,,,,,,11.g4g3 (985 1022 5 2147483592 800 985) ,12.d3d2 (-986 -985 5 2147483647 -964 -16000) 
,,,,,,,,,,11.g4g7 (985 1022 5 2147483543 800 985) ,12.d3d2 (-986 -985 4 2147483647 -820 -16000) 
,,,,,,,,,,11.h4e7 (985 1022 5 0 800 985) ,12.d3d2 (-986 -985 4 2147483647 -812 -16000) 
,,,,,,,,,,11.h4d8 (985 1022 5 0 800 985) ,12.d3d2 (-986 -985 4 2147483647 -797 -16000) 
,,,,,,,,,,11.h4g5 (985 1022 5 0 800 985) ,12.d3e2 (-986 -985 4 2147483647 -805 -16000) 
,,,,,,,,,,,12.d5d4 (-986 -985 4 0 -805 -986) 
,,,,,,,,,,11.g4a4 (985 1022 5 0 800 985) ,12.d3d2 (-986 -985 4 2147483647 -813 -16000) 
,,,,,,,,,,11.g4b4 (985 1022 5 0 800 985) ,12.d3d2 (-986 -985 4 2147483647 -816 -16000) 
,,,,,,,,,,11.g4c4 (985 1022 5 0 800 985) 
,,,,,,,,,,11.g4d4 (985 1022 5 0 800 985) ,12.d3d4 (-986 -985 4 2147483647 -804 -16000) 
,,,,,,,,,,11.g4e4 (985 1022 5 0 800 985) 
,,,,,,,,,,11.g4f4 (985 1022 5 0 800 985) ,12.d3d2 (-986 -985 4 2147483647 -810 -16000) 
,,,,,,,,,,11.g4g5 (985 1022 5 0 800 985) ,12.d3d2 (-986 -985 4 2147483647 -797 -16000) 
,,,,,,,,,,11.g4g6 (985 1022 5 0 800 985) 
,,,,,,,,,,11.h4f6 (985 1022 5 0 800 985) ,12.d3d2 (-986 -985 4 2147483647 -824 -16000) 
,,,,,,,,,,11.g4g8 (985 1022 5 0 800 985) ,12.d3d2 (-986 -985 4 2147483647 -821 -16000) 
,,,,,,,,,,11.b1a1 (985 1022 5 0 800 985) ,12.d3d2 (-986 -985 4 2147483647 -775 -16000) 
,,,,,,,,,,11.b1c1 (985 1022 5 0 800 985) ,12.d3e2 (-986 -985 4 2147483647 -806 -16000) 
,,,,,,,,,,,12.d5d4 (-986 -985 4 2147483542 -806 -988) 
,,,,,,,,,,,12.d3e2 (-1022 -985 4 2147483647 -806 -16000) 
,,,,,,,,,,,12.d5d4 (-988 -985 4 2147483542 -806 -988) 
,,,,,,,,,,11.b1a2 (987 1022 5 0 800 987) ,12.d3d2 (-988 -987 4 2147483647 -800 -16000) 
,,,,,,,,,,11.b1b2 (987 1022 5 0 800 987) ,12.Null (-988 -987 4 -999 -814 -16000) 
,,,,,,,,,10.e4f5 (-987 -942 6 1047 -789 -987) ,11.g4g7 (986 987 5 2147483647 798 -16000) ,12.f5f4 (-987 -986 4 2147483647 -818 -16000) 
,,,,,,,,,,,12.f5e4 (-987 -986 4 4 -818 -989) 
